id,BusinessSector,BusinessFunction,MeasuringElt,Rating,SUbCategory,AsIsQuestions,ToBeQuestions,MAXIMUM RATING
67,Energy,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,60,smart energy management,,,5
68,Energy,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,60,waste reduction,,,5
69,Energy,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,60,Rehabilitation,,,5
70,Energy,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,60,Digital authority involvement in environmental issues,,,5
71,Energy,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,60,"Digital plan, monitoring and tracking of environmental issues",,,5
72,Energy,"Finance,Corporate Development and Strategy",Strategic Vision and Leadership,65,Strategic vision,,,5
73,Energy,"Finance,Corporate Development and Strategy",Strategic Vision and Leadership,65,Leadership commitment,,,5
74,Energy,"Finance,Corporate Development and Strategy",Strategic Vision and Leadership,65,Organizational structure,,,5
75,Energy,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,75,Enabling Real-Time Visibility,,,5
76,Energy,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,75,Alarms,,,5
77,Energy,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,75,Alerts,,,5
78,Energy,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,75,Remote Troubleshooting Capabilities,,,5
79,Energy,operations,Power Generation ,66,Transmission Infrastructure,,,5
80,Energy,operations,Power Generation ,66,Distribution Networks,,,5
81,Energy,operations,Power Generation ,66,Grid Stability and Reliability,,,5
82,Energy,operations,Power Generation ,66,Renewable Integration,,,5
83,Energy,operations,Power Generation ,66,Environmental Impact,,,5
84,Energy,operations,Power Generation ,66,Generation Capacity,,,5
85,Energy,operations,Power Generation ,66,Electricity Generation,,,5
86,Energy,operations,generation technology,69,Heat Rate,,,5
87,Energy,operations,generation technology,69,Forced Outage Rate,,,5
88,Energy,operations,generation technology,69,Conversion Efficiency,,,5
89,Energy,operations,generation technology,69,Emissions Intensity,,,5
90,Energy,operations,generation technology,69,Fuel Cost,,,5
91,Energy,operations,generation technology,69,Interconnection Capacity,,,5
92,Energy,operations,generation technology,69,Nuclear Capacity Factor,,,5
93,Energy,operations,generation technology,69,Electricity Generation,,,5
94,Energy,Finance,Digital Capability,68,IT Infrastructure,,,5
95,Energy,Finance,Digital Capability,68,Descriptive Analysis,,,5
96,Energy, Finance,Digital Capability,68,Predictive Analysis,,,5
97,Energy,Human Resources (HR),Human Resources,88,Training on digital platforms,,,5
98,Energy,Human Resources (HR),Human Resources,88,Monitor skills on digital platforms,,,5
99,Energy,Human Resources (HR),Human Resources,88,Digitally monitor staff health status,,,5
100,Energy,Human Resources (HR),Human Resources,88,Change Management,,,5
101,Energy,Human Resources (HR),Human Resources,88,Reskilling,,,5
102,Energy,Human Resources (HR),Human Resources,88,Stakeholder Engagement,,,5
103,Energy,Human Resources (HR),Worker Enablement,87,Quick Decision,,,5
104,Energy,Human Resources (HR),Worker Enablement,87,Making Employee,,,5
105,Energy,Human Resources (HR),Worker Enablement,87,Enablement,,,5
106,Energy,Human Resources (HR),Worker Enablement,87,Employee Effectiveness,,,5
107,Energy,Human Resources (HR),Culture,85,Work Transformation,,,5
108,Energy,Human Resources (HR),Culture,85,Changing Behaviour,,,5
109,Energy,Human Resources (HR),Culture,85,Departmental Transformation,,,5
110,Energy,Human Resources (HR),Culture,85,People Transformation,,,5
111,Energy,"Marketing and sales,Corporate Development and Strategy",Customer Experience,77,Customer Satisfaction,,,5
112,Energy,"Marketing and sales,Corporate Development and Strategy",Customer Experience,77,Mine to Customer,,,5
113,Energy,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,63,Integrated Operations Centres,,,5
114,Energy,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,63,Realtime data,,,5
115,Energy,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,63,Integration,,,5
116,Energy,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,63,Data-Driven Mine,,,5
117,Energy,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,63,Eliminating Silos,,,5
118,Energy,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,63,Single Platform,,,5
119,Energy,Human Resources (HR),Performance Management,99,Value Chain Optimisation,,,5
120,Energy,Human Resources (HR),Performance Management,99,Business Intelligence,,,5
121,Energy,Human Resources (HR),Performance Management,99,Business Improvement,,,5
122,Energy,Human Resources (HR),Performance Management,99,Shareholder Returns,,,5
123,Energy,Human Resources (HR),Performance Management,99,Key Performance Indicators,,,5
124,Energy,Community and Stakeholder Relations,Stakeholder Involvement,55,Labour,,,5
125,Energy,Community and Stakeholder Relations,Stakeholder Involvement,55,Unions,,,5
126,Energy,Community and Stakeholder Relations,Stakeholder Involvement,55,Employees,,,5
127,Energy,"operations,Human Resources (HR)",Ease of Use and Adoption,53,Practicality of technologies,,,5
128,Energy,"operations,Human Resources (HR)",Ease of Use and Adoption,53,Project Value Realisation,,,5
129,Energy,"operations,Human Resources (HR)",Ease of Use and Adoption,53,Motivation (No Incentives),,,5
130,Energy,Corporate Development and Strategy, Change Management,52,Ineffective change management,,,5
131,Energy,Corporate Development and Strategy, Change Management,52,communication,,,5
132,Energy,Corporate Development and Strategy, Change Management,52,Change Resistance,,,5
133,Energy,Corporate Development and Strategy, Change Management,52,Reskilling,,,5
134,Energy,"operations,Safety, Health, Environment and Quality(SHEQ)",Worker Safety,50,Safety message announcement,,,5
135,Energy,"operations,Safety, Health, Environment and Quality(SHEQ)",Worker Safety,50,Monitoring of staff and visitor presence,,,5
136,Energy,Safety and Compliance,Contract management,51,Digitally update and follow-up contracts towards clients,,,5
137,Energy,Safety and Compliance,Contract management,51,Digitally track sub-contractor and supplier,,,5
138,Energy,Safety and Compliance,Contract management,51,payment management,,,5
139,Energy,operations,Quality control,54,Collect and monitor progress reports,,,5
140,Energy,operations,Quality control,54,Quality inspections with mobile devices,,,5
141,Energy,operations,Scheduling,57,"Create, assign, and prioritize tasks in real time and distribute to mobile devices",,,5
142,Energy,operations,Scheduling,57,Plan and simulate site progress in 4D-software,,,5
143,Energy,operations,Scheduling,57,Maintain a digital construction site disposition plan,,,5
144,Energy,operations,Logistics,52,"Identify, track and locate material and equipment on-site with digital tools",,,5
145,Energy,operations,Logistics,52,"Digitally monitor procurement orders, receipts, use, and quality issues",,,5
146,Energy,operations,Logistics,52,Maintain digital bill of quantities,,,5
147,Energy,operations,Design management,50,Visualize drawings and 3D models on-site on mobile platforms,,,5
148,Energy,operations,Design management,50,"Update digital drawings, models and technical information with notes and asbuilt records",,,5
149,Energy,operations,Ventiltion requirements,96,Dust control measures,,,5
150,Energy,operations,Ventiltion requirements,96,control measures,,,5
151,Energy,operations,Ventiltion requirements,96,Satbilization of haul road surfaces,,,5
152,Energy,operations,Ventiltion requirements,96,Utilization of fog cannons for visible dust,,,5
153,Energy,operations,Ventiltion requirements,96,Dust supression installation systems,,,5
154,Energy,"operations,Power Generation",Mineral processing,97,Comminution,,,5
155,Energy,"operations,Power Generation",Mineral processing,97,Ore characterization,,,5
156,Energy,"operations,Power Generation",Mineral processing,97,Process facilities,,,5
157,Energy,"operations,Power Generation",Mineral processing,97,Plant operation and mainatainance philosophy,,,5
158,Energy,"operations,Power Generation",Mineral processing,97,Expandability and expansion options,,,5
159,Energy,"operations,Power Generation",Mineral processing,97,Classification,,,5
160,Energy,"operations,Power Generation",Mineral processing,97,Gravity Separation,,,5
161,Energy,"operations,Power Generation",Mineral processing,97,Flotation,,,5
162,Energy,"operations,Power Generation",Mineral processing,97,Magnetic Separation,,,5
163,Energy,"operations,Power Generation",Mineral processing,97,Leaching,,,5
164,Energy,"operations,Power Generation",Mineral processing,97,Dewatering,,,5
165,Energy,"operations,Power Generation",Mineral processing,97,Smelting and Refining,,,5
166,Energy,operations,Mine access,89,Blind splot,,,5
167,Energy,operations,Mine access,89,Intersections,,,5
168,Energy,operations,Mine access,89,Safety berms and ditches,,,5
169,Energy,operations,Mine access,89,Equipment selection process,,,5
170,Energy,operations,Mine access,89,Material handling,,,5
171,Energy,operations,Mine access,89,haul road cross-sections,,,5
172,Energy,operations,Mine access,89,drainage requirements,,,5
173,Energy,operations,Mine access,89,road construction materials,,,5
179,Energy,"Exploration and Geology,Marketing and sales",Market analysis,78,Product shipping storage and distribution,,,5
